Studio Name,Service type,Rating,Address,City,,yYlJEf href
Karthika DIGITAL STUDIO,· Photography studio,4.2, Junction,Trivandrum, 093886 90890,
ASWATHY DIGITAL STUDIO&LASER COLOUR LAB,· Photography studio,4, near SBI,Trivandrum, 086069 89345,http://www.aswathystudio.com/
RCUBE STUDIO + Photo Lamination & Frames,· Photography service,5,,Trivandrum, 095675 21554,http://www.instagram.com/rcube_photography/
Favourite Digital Studio,· Photographer,4.3, National Highway 47,Trivandrum, 096338 49959,
Pixel Art Wedding Company,· Photography studio,5," TC 24/468, Prs Road, Sangeeth Nagar",Trivandrum, 088482 63050,https://pixel-art-wedding-company.business.site/?utm_source=gmb&utm_medium=referral
Asian digital studio,· Photography studio,4.7," bus stop, opp:, Vellayambalam - Sasthamangalam Rd",Trivandrum, 099958 50215,https://asian-digital-studio-photography-studio.business.site/?utm_source=gmb&utm_medium=referral
Fotofaktory l India,· Wedding photographer,4.6, ff Building T K Divakaran Road,Trivandrum, 098474 19546,
Picture Home,· Photography studio,4.3," Thiruvananthapuram, Kerala",Trivandrum, 099952 80095,https://business.google.com/website/picture-home?utm_source=gmb&utm_medium=referral
Greenhat Photography - Wedding Photography in Trivandrum,· Wedding photographer,4.9," TC 15, 262(1, Jn",Trivandrum, 094479 91164,https://greenhatphotography.com/?utm_source=Google%20my%20Business&utm_medium=Click&utm_campaign=googlemybusiness%20lead
Studio Olimpia,· Photography studio,4," F234+545, Trivandrum - Kanyakumari NH",Trivandrum, 094470 71595,
Archana studios,· Photography studio,3.7, FWVH+Q94,Trivandrum, 0471 246 5847,
Retna creation,· Photography studio,4.4," Thiruvananthapuram, Kerala",Trivandrum,,
Machooos International Wedding company,· Photography studio,4.8," Junction, Pattom Kowdiar Rd, near Kowdiar",Trivandrum,,http://www.machooosinternational.com/
Jn studio Thiruvananthapuram,· Photography studio,4.6," Thiruvananthapuram, Kerala",Trivandrum,,https://www.jnstudio.in/
Zepia Studio,· Photo shop,4.1,,Trivandrum, 099477 77494,http://www.zepiastudio.com/
Dreammakers Picture,· Photographer,4.9," Opp: Police Parade Ground, CV Raman Pillai Rd",Trivandrum, 082817 73322,
Bhadra Digital Studio,· Photography studio,4," Bhadra Deepam, Bhadra Digital Studio, Chiramukku, Attukal - Chiramukku Rd",Trivandrum, 096564 01686,https://bhadradigital.in/
KUKKU DIGITAL STUDIO,· Photography studio,3.7," Near School,Canara Bank Building",Trivandrum, 098955 73504,
