Studio Name,Service type,Rating,Address,City,Contact Number,Website
Omsai Photo Studio, Photography studio,4.4," Shop No. G-4, Aditya Heritage Building, VN Purav Marg",Mumbai, 098211 84573,
Citylight Digital Studio, Photography studio,4.2," Masjid, opposite Kalina",Mumbai, 098704 05624,https://citylightdigitalstudio.business.site/
Julie Digital Studio, Photography studio,4.7," Shop no 2. Shraddha Darshan building, yashwant nagar, Opp.shivsena sakha vakola santacurz East",Mumbai,,
Sadhana Photo Studio, Photography studio,4.2," Shop Number.3 Opposite Sahakar Cinema Riddhi Siddhi Premises Tilak Nagar Chembur Mumbai Maharashtra 400089 IN, Rd Number 2",Mumbai, 093231 01313,
Vasant Photo Studio, Photography studio,4," shop no 1, Petlina Apartments, Lal Bahadur Shastri Marg, next to Axis bank, opp. Janseva Petrolpump",Mumbai, 098691 41423,
Central studios, Photography studio,4.7,,Mumbai,,http://www.centralstudios.in/
Priyanka Photo Studio (Photo Phactories), Portrait studio,4," Shop No. 53, Heera Panna Shopping Centre, Near, Adi Shankaracharya Marg",Mumbai, 098332 83132,https://priyanka-photo-studio.business.site/
Frames & Pictures Studio, Photography studio,5,,Mumbai,,https://www.instagram.com/fnpstudio_weddingphotography/
MH Studio, Photography studio,4.8," 310, Surya Houes, Near Somaiya College, Vidhyvihar, Station Rd",Mumbai, 080800 57070,
Rupam Studio, Photography studio,4.2," Plot No 467, Vasant Breezy Chambers, Kings Cir",Mumbai, 022 2409 6278,
Paras Digital Studio, Photography studio,4.2," Rinisa Residency, SG Barve Marg",Mumbai, 099200 56663,https://parasdigitalstudio.in/
Dabboo Ratnani, Photography studio,4.3," Vikas Center, 13-14-15, Swami Vivekananda Rd",Mumbai, 098207 12412,
Unicorn Studios, Photography studio,4.1," Unicorn Studios 303-304, Crescent Royal, Off link Road,, Andheri West, behind Morya House",Mumbai, 090224 42000,
Mandarin Studios, Photography studio,4.4," Remi Commercio, 1009, Shaha Industrial Rd",Mumbai,,https://mandarin-studios.business.site/
Great Photo Studio, Photo lab,4.2," Shop No A/282, Near Arma Building, Prof A K Road, Station Road, Bandra East",Mumbai, 098336 59911,
Studio Shot, Photography studio,4.3, 3VC6+QMG,Mumbai,,http://www.studioshot.co.in/
Digital Bell Colour Lab & Photo Studio, Photography studio,4.5," 273, Kalbadevi Rd, opposite Arya Niwas Lodge",Mumbai, 022 2240 1545,
MAHARASHTRA PHOTO STUDIO, Photography studio,3.9," 469, New Mill Rd, opp. Sayba shopping center, near New post office",Mumbai, 098698 16602,
Jenny Foto Shoppe, Photography service,4," 1st Road 4,Akshay plaza, 20a, 1st Rd, near B.M.C Office",Mumbai, 081698 33531,
Studio Photo Point, Photography studio,4.2," near, shop no 3,Keluskar vihar, Dr valanju, next to RP tailor",Mumbai, 077388 11624,
WhiteBG Studio, Photography studio,4.3, Maharashtra,Mumbai, 098197 45673,http://whitebgstudio.com/
Jenny Photo Studio, Photography studio,3.8," 3V7X+99V, Shell Colony Rd, Near Railway Crossing",Mumbai, 098199 29564,
Neelam Photo Studio, Photography studio,4.4, Road No. 3,Mumbai, 097687 25718,
Sai Baba Studio, Photographer,4.3," 76/A, Shop No. 3, Eidu Manzil, Lady Jamshedji Road, AS Gaya Marg, Wanjawadi, Mahim West, Mahim",Mumbai, 098207 25785,
Creative Crew - The Photo Studio, Wedding photographer,4.9," Shop No. 18, I - Wing, Azziano Society, Rustomjee Urbania, Majiwada",Mumbai, 099877 81018,
StudioOnCloud, Photography service,5," B-610, Kanakia wall street",Mumbai, 090040 58205,https://www.studiooncloud.com/
Drisha Photo Studio, Photography studio,4.2," 323, Ganapatrao Kadam Marg",Mumbai, 076660 79007,
Able Art Studio, Wedding photographer,4.8," Door No. G/ 3, Manisha Apartment, NP Thakkar Cross Rd",Mumbai,,http://www.instagram.com/ableartstudio
Poonam Studio, Photography studio,4, Andheri - Kurla Rd,Mumbai, 098197 62543,
Mayur Photo Studio, Photography studio,4.1," Mumbai, Maharashtra",Mumbai, 092246 13944,
STREETLIGHT STUDIO, Photography studio,4.5," 1116, 11th floor, Mastermind 5 (MMV, Royal Palms Estate",Mumbai,,
